DateKey,CampaignKey,ChannelKey,ProductKey,Spend,Impressions,Clicks,Leads,Conversions,Revenue
05/08/2024,2,3,1,27968668,408500,29077,7305,249,49907855
12/08/2024,2,3,1,75337267,383123,24022,6062,656,131336462
19/08/2024,2,3,1,32539296,339158,24176,6212,328,65668231
19/08/2024,3,3,2,187799992,432021,32737,8284,1864,372995551
26/08/2024,2,3,1,43413091,477176,33921,8840,472,94562252
26/08/2024,2,2,3,52225619,470134,33792,9660,709,141843379
26/08/2024,3,3,2,209915596,452507,31702,8739,1694,338848071
02/09/2024,3,3,2,18403422,190973,10169,2803,186,37367392
09/09/2024,3,3,2,90775599,345823,24852,6701,827,165484167
09/09/2024,3,5,2,76626794,308147,17740,4644,489,97866980
16/09/2024,3,3,2,18025007,198561,13057,3652,186,37367392
16/09/2024,3,5,2,22446027,164334,11921,3116,169,33808593
23/09/2024,3,3,2,79121118,289249,16471,4801,791,158366568
30/09/2024,3,3,2,176539250,835345,63311,16366,1734,346982930
07/10/2024,3,3,2,106566176,240035,19179,5349,1040,208198725
14/10/2024,3,3,2,179897964,209530,13967,3951,1937,387480960
14/10/2024,3,5,2,128345227,373688,26955,7297,1098,219765320
02/12/2024,4,4,2,16057039,134562,10345,3046,292,58518939
02/12/2024,4,5,3,44797677,177832,10333,2597,292,58518939
09/12/2024,4,4,2,50830137,107029,5502,1392,739,175556817
16/12/2024,4,4,2,53672470,104370,5695,1478,669,169704924
23/12/2024,4,4,2,24004534,64312,4391,1250,409,81926515
23/12/2024,4,5,3,24455377,161531,12108,3296,204,40963257
23/12/2024,5,1,2,68160364,447329,31042,9138,848,169704924
23/12/2024,5,4,2,25936775,113531,5822,1511,438,87778409
30/12/2024,4,4,2,22307910,55819,3777,1074,438,87778409
30/12/2024,4,5,3,77980178,240031,13160,3581,585,117037878
30/12/2024,5,1,2,90744297,275544,16149,4682,1053,210668181
30/12/2024,5,4,2,27453366,84920,4691,1390,526,105334090
06/01/2025,5,1,2,90617046,966254,68583,19687,987,197495200
13/01/2025,5,1,2,119072634,1770778,139628,37730,1178,235647682
20/01/2025,5,1,2,42594583,549376,43710,12305,437,87526282
20/01/2025,5,4,2,3200334,146087,8263,2427,52,10473230
27/01/2025,5,1,2,75556642,1184053,63705,17679,946,189266233
27/01/2025,5,4,2,3900535,131998,8590,2419,63,12717494
22/01/2025,5,5,2,15842688,186572,14446,3889,138,27679251
22/01/2025,5,4,2,26119421,321598,18670,5258,392,78549227
23/01/2025,5,5,2,30790798,245928,18490,4711,239,47877624
23/01/2025,5,4,2,17622306,198940,10064,2723,321,64335558
24/01/2025,5,5,2,5318556,87069,6613,1866,33,6732791
25/01/2025,5,5,2,6985729,173870,11751,3160,56,11221318
25/01/2025,5,4,2,7513685,85419,6348,1594,145,29175427
26/01/2025,5,5,2,36610439,232342,14868,3849,228,45633361
27/01/2025,5,5,2,33904948,288715,21429,5647,269,53862327
27/01/2025,5,4,2,8738465,199333,11823,3472,172,34412042
28/01/2025,5,5,2,8008437,150969,10979,3008,67,13465582
28/01/2025,5,4,2,34826352,404331,25216,7334,605,121190236
29/01/2025,5,5,2,22574850,174547,9504,2425,179,35908218
30/01/2025,5,5,2,12122205,118239,6340,1685,89,17954109
31/01/2025,5,5,2,14900575,386395,19378,5745,138,27679251
31/01/2025,5,4,2,15072050,149252,10910,3059,243,48625712
03/02/2025,5,1,2,31557559,256824,17773,5098,351,70290525
10/02/2025,5,1,2,223489502,863082,54183,14385,2196,439315781
10/02/2025,5,4,2,19844875,195888,10884,2999,312,62480467
17/02/2025,5,1,2,130984476,808626,62253,18303,1454,290924673
17/02/2025,5,4,2,11035272,208742,15036,4212,185,37097777
01/02/2025,5,5,2,26001587,137389,10347,2964,205,41002806
02/02/2025,5,5,2,38013971,188357,13825,3522,244,48812865
03/02/2025,5,5,2,74153724,259873,15942,4546,478,95673214
03/02/2025,5,4,2,15128828,120626,9451,2829,263,52717894
04/02/2025,5,5,2,30519807,148492,9375,2642,253,50765379
05/02/2025,5,5,2,23102833,170781,10761,2928,156,31240233
05/02/2025,5,4,2,73941176,275763,19047,4932,1317,263589469
19/05/2025,6,5,3,71904406,357540,21461,5390,548,109791305
26/05/2025,6,5,3,554067039,740486,43218,12331,4086,817335272
02/06/2025,6,5,3,56530667,316453,23139,5952,391,78308518
09/06/2025,6,5,3,23048545,439256,23679,6825,207,41457450
09/06/2025,6,1,2,115016689,732439,56295,14444,1301,260260661
16/06/2025,6,5,3,28848777,251661,17474,4837,218,43760642
16/06/2025,6,1,2,102080976,424773,29342,8550,1070,214196827
23/06/2025,6,5,3,42062566,293144,16230,4539,333,66792559
30/06/2025,6,5,3,38689661,679596,43235,11103,287,57579792
30/06/2025,6,1,2,150429277,1003213,75470,19925,1474,294808537
01/03/2024,0,4,1,247271914,70198,20864,5842,2921,876401948
01/04/2024,0,4,1,250804887,60840,23585,6604,3302,990717592
01/11/2024,0,4,1,260509059,51375,21207,5938,2969,890960496
01/03/2025,0,4,1,305632559,141679,9085,6620,3310,993115194
01/04/2025,0,4,1,248559906,105424,8271,6234,3117,935173913
