ExpenseDate,ExpenseType,Amount_VND
2024-03-08,Lương nhân viên,27384056
2024-03-09,Lương nhân viên,23982179
2024-03-10,Lương nhân viên,26111309
2024-03-11,Lương nhân viên,28594570
2024-03-12,Lương nhân viên,28260543
2024-03-13,Lương nhân viên,27019801
2024-03-14,Lương nhân viên,28427530
2024-03-15,Lương nhân viên,25578836
2024-03-16,Lương nhân viên,25794466
2024-03-17,Lương nhân viên,28003378
2024-03-18,Lương nhân viên,24651401
2024-03-19,Lương nhân viên,25004930
2024-03-20,Lương nhân viên,28950947
2024-03-21,Lương nhân viên,24936403
2024-03-22,Lương nhân viên,26866893
2024-03-23,Lương nhân viên,25643694
2024-03-24,Lương nhân viên,24055596
2024-03-25,Lương nhân viên,24572572
2024-03-26,Lương nhân viên,28177924
2024-03-27,Lương nhân viên,28090522
2024-03-28,Lương nhân viên,26155771
2024-03-29,Lương nhân viên,28153097
2024-03-30,Lương nhân viên,24209429
2024-03-31,Lương nhân viên,24198667
2024-04-01,Lương nhân viên,27620266
2024-04-02,Lương nhân viên,27313359
2024-04-03,Lương nhân viên,28488477
2024-04-04,Lương nhân viên,26341788
2024-04-05,Lương nhân viên,27499017
2024-04-06,Lương nhân viên,25568201
2024-04-07,Lương nhân viên,26316296
2024-04-08,Lương nhân viên,27302398
2024-04-09,Lương nhân viên,26940916
2024-04-10,Lương nhân viên,25311963
2024-04-11,Lương nhân viên,25495050
2024-04-12,Lương nhân viên,26505572
2024-04-13,Lương nhân viên,24700163
2024-04-14,Lương nhân viên,29142279
2024-04-15,Lương nhân viên,29184257
2024-04-16,Lương nhân viên,29029947
2024-04-17,Lương nhân viên,26863619
2024-04-18,Lương nhân viên,27058359
2024-04-19,Lương nhân viên,29557102
2024-04-20,Lương nhân viên,25620755
2024-04-21,Lương nhân viên,29615303
2024-04-22,Lương nhân viên,29873659
2024-04-23,Lương nhân viên,27168669
2024-04-24,Lương nhân viên,30007999
2024-04-25,Lương nhân viên,29620659
2024-04-26,Lương nhân viên,26460405
2024-04-27,Lương nhân viên,24665266
2024-04-28,Lương nhân viên,27527405
2024-04-29,Lương nhân viên,25317361
2024-04-30,Lương nhân viên,29292314
2024-05-01,Lương nhân viên,27318054
2024-05-02,Lương nhân viên,28168805
2024-05-03,Lương nhân viên,24446912
2024-05-04,Lương nhân viên,25556563
2024-05-05,Lương nhân viên,24650757
2024-05-06,Lương nhân viên,28603880
2024-05-07,Lương nhân viên,26145637
2024-05-08,Lương nhân viên,25260163
2024-05-09,Lương nhân viên,28137660
2024-05-10,Lương nhân viên,28286791
2024-05-11,Lương nhân viên,27313684
2024-05-12,Lương nhân viên,26819847
2024-05-13,Lương nhân viên,25543914
2024-05-14,Lương nhân viên,25627592
2024-05-15,Lương nhân viên,25862432
2024-05-16,Lương nhân viên,28007137
2024-05-17,Lương nhân viên,24442829
2024-05-18,Lương nhân viên,24632126
2024-05-19,Lương nhân viên,28194819
2024-05-20,Lương nhân viên,28192785
2024-05-21,Lương nhân viên,25998466
2024-05-22,Lương nhân viên,25580130
2024-05-23,Lương nhân viên,24596568
2024-05-24,Lương nhân viên,26487955
2024-05-25,Lương nhân viên,28640036
2024-05-26,Lương nhân viên,25172047
2024-05-27,Lương nhân viên,25518681
2024-05-28,Lương nhân viên,28454198
2024-05-29,Lương nhân viên,24561344
2024-05-30,Lương nhân viên,28391968
2024-05-31,Lương nhân viên,27752370
2024-06-01,Lương nhân viên,24805407
2024-06-02,Lương nhân viên,29169484
2024-06-03,Lương nhân viên,28537052
2024-06-04,Lương nhân viên,27619103
2024-06-05,Lương nhân viên,25256145
2024-06-06,Lương nhân viên,29030246
2024-06-07,Lương nhân viên,29765904
2024-06-08,Lương nhân viên,27307583
2024-06-09,Lương nhân viên,28286657
2024-06-10,Lương nhân viên,27017086
2024-06-11,Lương nhân viên,25788216
2024-06-12,Lương nhân viên,29534376
2024-06-13,Lương nhân viên,25425108
2024-06-14,Lương nhân viên,26983428
2024-06-15,Lương nhân viên,29829002
2024-06-16,Lương nhân viên,26091041
2024-06-17,Lương nhân viên,28316180
2024-06-18,Lương nhân viên,26176554
2024-06-19,Lương nhân viên,29726873
2024-06-20,Lương nhân viên,29503315
2024-06-21,Lương nhân viên,25016861
2024-06-22,Lương nhân viên,29476355
2024-06-23,Lương nhân viên,27434760
2024-06-24,Lương nhân viên,25400320
2024-06-25,Lương nhân viên,27069906
2024-06-26,Lương nhân viên,29961807
2024-06-27,Lương nhân viên,26632795
2024-06-28,Lương nhân viên,28411937
2024-06-29,Lương nhân viên,26969200
2024-06-30,Lương nhân viên,27682230
2024-07-01,Lương nhân viên,24715552
2024-07-02,Lương nhân viên,24090740
2024-07-03,Lương nhân viên,25137856
2024-07-04,Lương nhân viên,26136651
2024-07-05,Lương nhân viên,25003255
2024-07-06,Lương nhân viên,27384514
2024-07-07,Lương nhân viên,25682737
2024-07-08,Lương nhân viên,25054997
2024-07-09,Lương nhân viên,24825355
2024-07-10,Lương nhân viên,27010736
2024-07-11,Lương nhân viên,26557256
2024-07-12,Lương nhân viên,25480114
2024-07-13,Lương nhân viên,25892637
2024-07-14,Lương nhân viên,24869339
2024-07-15,Lương nhân viên,27146240
2024-07-16,Lương nhân viên,27391774
2024-07-17,Lương nhân viên,27753104
2024-07-18,Lương nhân viên,25059466
2024-07-19,Lương nhân viên,27655995
2024-07-20,Lương nhân viên,25783570
2024-07-21,Lương nhân viên,25439172
2024-07-22,Lương nhân viên,27660063
2024-07-23,Lương nhân viên,28978180
2024-07-24,Lương nhân viên,25713553
2024-07-25,Lương nhân viên,26916664
2024-07-26,Lương nhân viên,28798021
2024-07-27,Lương nhân viên,26588168
2024-07-28,Lương nhân viên,24906145
2024-07-29,Lương nhân viên,24011703
2024-07-30,Lương nhân viên,26656752
2024-07-31,Lương nhân viên,23919458
2024-08-01,Lương nhân viên,26280721
2024-08-02,Lương nhân viên,29046505
2024-08-03,Lương nhân viên,24657699
2024-08-04,Lương nhân viên,25277367
2024-08-05,Lương nhân viên,25782741
2024-08-06,Lương nhân viên,24192520
2024-08-07,Lương nhân viên,27850022
2024-08-08,Lương nhân viên,28912178
2024-08-09,Lương nhân viên,27865708
2024-08-10,Lương nhân viên,27443887
2024-08-11,Lương nhân viên,28429715
2024-08-12,Lương nhân viên,27981101
2024-08-13,Lương nhân viên,28763097
2024-08-14,Lương nhân viên,25027953
2024-08-15,Lương nhân viên,26057315
2024-08-16,Lương nhân viên,26588399
2024-08-17,Lương nhân viên,26522287
2024-08-18,Lương nhân viên,25176127
2024-08-19,Lương nhân viên,29065322
2024-08-20,Lương nhân viên,25594299
2024-08-21,Lương nhân viên,28699466
2024-08-22,Lương nhân viên,27822386
2024-08-23,Lương nhân viên,25517814
2024-08-24,Lương nhân viên,28119642
2024-08-25,Lương nhân viên,28941484
2024-08-26,Lương nhân viên,27716216
2024-08-27,Lương nhân viên,26059579
2024-08-28,Lương nhân viên,24652053
2024-08-29,Lương nhân viên,28152117
2024-08-30,Lương nhân viên,24458680
2024-08-31,Lương nhân viên,26850368
2024-09-01,Lương nhân viên,27361381
2024-09-02,Lương nhân viên,28167514
2024-09-03,Lương nhân viên,26631940
2024-09-04,Lương nhân viên,29556706
2024-09-05,Lương nhân viên,25403938
2024-09-06,Lương nhân viên,27205452
2024-09-07,Lương nhân viên,27128061
2024-09-08,Lương nhân viên,25747735
2024-09-09,Lương nhân viên,27987352
2024-09-10,Lương nhân viên,25459505
2024-09-11,Lương nhân viên,27008801
2024-09-12,Lương nhân viên,24613753
2024-09-13,Lương nhân viên,24806481
2024-09-14,Lương nhân viên,26789831
2024-09-15,Lương nhân viên,27233295
2024-09-16,Lương nhân viên,26144007
2024-09-17,Lương nhân viên,28587366
2024-09-18,Lương nhân viên,26903436
2024-09-19,Lương nhân viên,27372318
2024-09-20,Lương nhân viên,28032098
2024-09-21,Lương nhân viên,26291509
2024-09-22,Lương nhân viên,24902294
2024-09-23,Lương nhân viên,28793786
2024-09-24,Lương nhân viên,27361957
2024-09-25,Lương nhân viên,24667869
2024-09-26,Lương nhân viên,26290060
2024-09-27,Lương nhân viên,29609278
2024-09-28,Lương nhân viên,28899119
2024-09-29,Lương nhân viên,28999337
2024-09-30,Lương nhân viên,29797030
2024-10-01,Lương nhân viên,28097410
2024-10-02,Lương nhân viên,24555347
2024-10-03,Lương nhân viên,26616931
2024-10-04,Lương nhân viên,24429789
2024-10-05,Lương nhân viên,24612859
2024-10-06,Lương nhân viên,28005249
2024-10-07,Lương nhân viên,25344309
2024-10-08,Lương nhân viên,27782432
2024-10-09,Lương nhân viên,25471943
2024-10-10,Lương nhân viên,24716768
2024-10-11,Lương nhân viên,28822095
2024-10-12,Lương nhân viên,24167469
2024-10-13,Lương nhân viên,24825431
2024-10-14,Lương nhân viên,24895258
2024-10-15,Lương nhân viên,25592895
2024-10-16,Lương nhân viên,24447580
2024-10-17,Lương nhân viên,26730945
2024-10-18,Lương nhân viên,28597341
2024-10-19,Lương nhân viên,25138496
2024-10-20,Lương nhân viên,25598235
2024-10-21,Lương nhân viên,27322882
2024-10-22,Lương nhân viên,28803742
2024-10-23,Lương nhân viên,25662872
2024-10-24,Lương nhân viên,24521163
2024-10-25,Lương nhân viên,26514330
2024-10-26,Lương nhân viên,25539229
2024-10-27,Lương nhân viên,24638289
2024-10-28,Lương nhân viên,26796979
2024-10-29,Lương nhân viên,27884929
2024-10-30,Lương nhân viên,26751411
2024-10-31,Lương nhân viên,24654887
2024-11-01,Lương nhân viên,24874526
2024-11-02,Lương nhân viên,25326128
2024-11-03,Lương nhân viên,28102293
2024-11-04,Lương nhân viên,28180436
2024-11-05,Lương nhân viên,28688061
2024-11-06,Lương nhân viên,27286862
2024-11-07,Lương nhân viên,26429782
2024-11-08,Lương nhân viên,25210578
2024-11-09,Lương nhân viên,25946086
2024-11-10,Lương nhân viên,26011247
2024-11-11,Lương nhân viên,25967209
2024-11-12,Lương nhân viên,26342797
2024-11-13,Lương nhân viên,28652079
2024-11-14,Lương nhân viên,26432685
2024-11-15,Lương nhân viên,28853334
2024-11-16,Lương nhân viên,27410680
2024-11-17,Lương nhân viên,29424688
2024-11-18,Lương nhân viên,24849282
2024-11-19,Lương nhân viên,25758116
2024-11-20,Lương nhân viên,29811617
2024-11-21,Lương nhân viên,28023198
2024-11-22,Lương nhân viên,26615586
2024-11-23,Lương nhân viên,28724086
2024-11-24,Lương nhân viên,29458367
2024-11-25,Lương nhân viên,29905621
2024-11-26,Lương nhân viên,26949219
2024-11-27,Lương nhân viên,26743895
2024-11-28,Lương nhân viên,28520283
2024-11-29,Lương nhân viên,26822076
2024-11-30,Lương nhân viên,27359139
2024-12-01,Lương nhân viên,28034362
2024-12-02,Lương nhân viên,25732808
2024-12-03,Lương nhân viên,24311709
2024-12-04,Lương nhân viên,24994642
2024-12-05,Lương nhân viên,26757794
2024-12-06,Lương nhân viên,24282936
2024-12-07,Lương nhân viên,28483256
2024-12-08,Lương nhân viên,24174060
2024-12-09,Lương nhân viên,24584029
2024-12-10,Lương nhân viên,23890333
2024-12-11,Lương nhân viên,25921083
2024-12-12,Lương nhân viên,27455111
2024-12-13,Lương nhân viên,28050131
2024-12-14,Lương nhân viên,28859435
2024-12-15,Lương nhân viên,28620496
2024-12-16,Lương nhân viên,26187115
2024-12-17,Lương nhân viên,25634424
2024-12-18,Lương nhân viên,24960413
2024-12-19,Lương nhân viên,24365058
2024-12-20,Lương nhân viên,24590655
2024-12-21,Lương nhân viên,28803138
2024-12-22,Lương nhân viên,26478870
2024-12-23,Lương nhân viên,24662971
2024-12-24,Lương nhân viên,28373541
2024-12-25,Lương nhân viên,28185918
2024-12-26,Lương nhân viên,27576640
2024-12-27,Lương nhân viên,25694907
2024-12-28,Lương nhân viên,25591099
2024-12-29,Lương nhân viên,28089343
2024-12-30,Lương nhân viên,28314728
2024-12-31,Lương nhân viên,27013374
2024-01-01,Thuê mặt bằng,13160012
2024-01-02,Thuê mặt bằng,11956940
2024-01-03,Thuê mặt bằng,13196853
2024-01-04,Thuê mặt bằng,14424357
2024-01-05,Thuê mặt bằng,13428218
2024-01-06,Thuê mặt bằng,12405210
2024-01-07,Thuê mặt bằng,14155142
2024-01-08,Thuê mặt bằng,12167175
2024-01-09,Thuê mặt bằng,12512380
2024-01-10,Thuê mặt bằng,13901370
2024-01-11,Thuê mặt bằng,14393072
2024-01-12,Thuê mặt bằng,13109329
2024-01-13,Thuê mặt bằng,12367107
2024-01-14,Thuê mặt bằng,14281806
2024-01-15,Thuê mặt bằng,12646675
2024-01-16,Thuê mặt bằng,12507042
2024-01-17,Thuê mặt bằng,13696921
2024-01-18,Thuê mặt bằng,13930965
2024-01-19,Thuê mặt bằng,14405804
2024-01-20,Thuê mặt bằng,11977633
2024-01-21,Thuê mặt bằng,12998311
2024-01-22,Thuê mặt bằng,14183727
2024-01-23,Thuê mặt bằng,12086247
2024-01-24,Thuê mặt bằng,14359562
2024-01-25,Thuê mặt bằng,14417248
2024-01-26,Thuê mặt bằng,11954717
2024-01-27,Thuê mặt bằng,12202956
2024-01-28,Thuê mặt bằng,13730823
2024-01-29,Thuê mặt bằng,12468675
2024-01-30,Thuê mặt bằng,14501124
2024-01-31,Thuê mặt bằng,13190251
2024-02-01,Thuê mặt bằng,14046906
2024-02-02,Thuê mặt bằng,14425406
2024-02-03,Thuê mặt bằng,14852750
2024-02-04,Thuê mặt bằng,13383300
2024-02-05,Thuê mặt bằng,12964224
2024-02-06,Thuê mặt bằng,13619475
2024-02-07,Thuê mặt bằng,13870583
2024-02-08,Thuê mặt bằng,13843335
2024-02-09,Thuê mặt bằng,14446962
2024-02-10,Thuê mặt bằng,14365144
2024-02-11,Thuê mặt bằng,13765766
2024-02-12,Thuê mặt bằng,13193689
2024-02-13,Thuê mặt bằng,13683725
2024-02-14,Thuê mặt bằng,14366615
2024-02-15,Thuê mặt bằng,12982351
2024-02-16,Thuê mặt bằng,15142221
2024-02-17,Thuê mặt bằng,14995837
2024-02-18,Thuê mặt bằng,13215603
2024-02-19,Thuê mặt bằng,15489385
2024-02-20,Thuê mặt bằng,13467734
2024-02-21,Thuê mặt bằng,14435405
2024-02-22,Thuê mặt bằng,14231688
2024-02-23,Thuê mặt bằng,13569492
2024-02-24,Thuê mặt bằng,14084494
2024-02-25,Thuê mặt bằng,14297124
2024-02-26,Thuê mặt bằng,14093912
2024-02-27,Thuê mặt bằng,14764301
2024-02-28,Thuê mặt bằng,14757040
2024-02-29,Thuê mặt bằng,15443057
2024-03-01,Thuê mặt bằng,13654128
2024-03-02,Thuê mặt bằng,13843820
2024-03-03,Thuê mặt bằng,12092225
2024-03-04,Thuê mặt bằng,13592723
2024-03-05,Thuê mặt bằng,14376109
2024-03-06,Thuê mặt bằng,12912651
2024-03-07,Thuê mặt bằng,13305600
2024-03-08,Thuê mặt bằng,13666988
2024-03-09,Thuê mặt bằng,12004009
2024-03-10,Thuê mặt bằng,13469125
2024-03-11,Thuê mặt bằng,13231156
2024-03-12,Thuê mặt bằng,12498722
2024-03-13,Thuê mặt bằng,13510582
2024-03-14,Thuê mặt bằng,11947553
2024-03-15,Thuê mặt bằng,13551290
2024-03-16,Thuê mặt bằng,14505745
2024-03-17,Thuê mặt bằng,12641559
2024-03-18,Thuê mặt bằng,12702057
2024-03-19,Thuê mặt bằng,12161704
2024-03-20,Thuê mặt bằng,13000830
2024-03-21,Thuê mặt bằng,14243660
2024-03-22,Thuê mặt bằng,14033025
2024-03-23,Thuê mặt bằng,12534477
2024-03-24,Thuê mặt bằng,14501982
2024-03-25,Thuê mặt bằng,12543077
2024-03-26,Thuê mặt bằng,14354787
2024-03-27,Thuê mặt bằng,13019474
2024-03-28,Thuê mặt bằng,12235155
2024-03-29,Thuê mặt bằng,12565803
2024-03-30,Thuê mặt bằng,14049412
2024-03-31,Thuê mặt bằng,14402664
2024-04-01,Thuê mặt bằng,14679615
2024-04-02,Thuê mặt bằng,13195519
2024-04-03,Thuê mặt bằng,14534330
2024-04-04,Thuê mặt bằng,14020441
2024-04-05,Thuê mặt bằng,14934764
2024-04-06,Thuê mặt bằng,14072364
2024-04-07,Thuê mặt bằng,12942530
2024-04-08,Thuê mặt bằng,14340409
2024-04-09,Thuê mặt bằng,13164463
2024-04-10,Thuê mặt bằng,13481661
2024-04-11,Thuê mặt bằng,12550506
2024-04-12,Thuê mặt bằng,14045751
2024-04-13,Thuê mặt bằng,14677768
2024-04-14,Thuê mặt bằng,14632567
2024-04-15,Thuê mặt bằng,12645634
2024-04-16,Thuê mặt bằng,14344900
2024-04-17,Thuê mặt bằng,13546618
2024-04-18,Thuê mặt bằng,14270556
2024-04-19,Thuê mặt bằng,12416922
2024-04-20,Thuê mặt bằng,14858445
2024-04-21,Thuê mặt bằng,14189977
2024-04-22,Thuê mặt bằng,13418939
2024-04-23,Thuê mặt bằng,12881937
2024-04-24,Thuê mặt bằng,12627351
2024-04-25,Thuê mặt bằng,14093313
2024-04-26,Thuê mặt bằng,12464384
2024-04-27,Thuê mặt bằng,14670442
2024-04-28,Thuê mặt bằng,12519493
2024-04-29,Thuê mặt bằng,13683753
2024-04-30,Thuê mặt bằng,14537606
2024-05-01,Thuê mặt bằng,13351479
2024-05-02,Thuê mặt bằng,14269543
2024-05-03,Thuê mặt bằng,14307596
2024-05-04,Thuê mặt bằng,13475674
2024-05-05,Thuê mặt bằng,13321455
2024-05-06,Thuê mặt bằng,12789579
2024-05-07,Thuê mặt bằng,12187565
2024-05-08,Thuê mặt bằng,13287741
2024-05-09,Thuê mặt bằng,12934677
2024-05-10,Thuê mặt bằng,14069940
2024-05-11,Thuê mặt bằng,14500014
2024-05-12,Thuê mặt bằng,13564537
2024-05-13,Thuê mặt bằng,13536484
2024-05-14,Thuê mặt bằng,12176260
2024-05-15,Thuê mặt bằng,14429737
2024-05-16,Thuê mặt bằng,13809908
2024-05-17,Thuê mặt bằng,12552209
2024-05-18,Thuê mặt bằng,14094540
2024-05-19,Thuê mặt bằng,12588378
2024-05-20,Thuê mặt bằng,12428875
2024-05-21,Thuê mặt bằng,12094568
2024-05-22,Thuê mặt bằng,12395589
2024-05-23,Thuê mặt bằng,13857673
2024-05-24,Thuê mặt bằng,12881973
2024-05-25,Thuê mặt bằng,13945897
2024-05-26,Thuê mặt bằng,12275015
2024-05-27,Thuê mặt bằng,12252298
2024-05-28,Thuê mặt bằng,13113268
2024-05-29,Thuê mặt bằng,14391006
2024-05-30,Thuê mặt bằng,13559528
2024-05-31,Thuê mặt bằng,13799326
2024-06-01,Thuê mặt bằng,14448446
2024-06-02,Thuê mặt bằng,14002570
2024-06-03,Thuê mặt bằng,14780617
2024-06-04,Thuê mặt bằng,12567695
2024-06-05,Thuê mặt bằng,14615560
2024-06-06,Thuê mặt bằng,14885039
2024-06-07,Thuê mặt bằng,12399232
2024-06-08,Thuê mặt bằng,13541048
2024-06-09,Thuê mặt bằng,13335451
2024-06-10,Thuê mặt bằng,14572342
2024-06-11,Thuê mặt bằng,12522477
2024-06-12,Thuê mặt bằng,14669724
2024-06-13,Thuê mặt bằng,13896938
2024-06-14,Thuê mặt bằng,12840667
2024-06-15,Thuê mặt bằng,14759478
2024-06-16,Thuê mặt bằng,14051466
2024-06-17,Thuê mặt bằng,13918275
2024-06-18,Thuê mặt bằng,12720029
2024-06-19,Thuê mặt bằng,14883670
2024-06-20,Thuê mặt bằng,13030757
2024-06-21,Thuê mặt bằng,13217283
2024-06-22,Thuê mặt bằng,13135228
2024-06-23,Thuê mặt bằng,13823812
2024-06-24,Thuê mặt bằng,14055578
2024-06-25,Thuê mặt bằng,14076668
2024-06-26,Thuê mặt bằng,14409946
2024-06-27,Thuê mặt bằng,12909933
2024-06-28,Thuê mặt bằng,13683362
2024-06-29,Thuê mặt bằng,13142757
2024-06-30,Thuê mặt bằng,13638720
2024-07-01,Thuê mặt bằng,12574038
2024-07-02,Thuê mặt bằng,12745993
2024-07-03,Thuê mặt bằng,13571970
2024-07-04,Thuê mặt bằng,13151609
2024-07-05,Thuê mặt bằng,11945210
2024-07-06,Thuê mặt bằng,12081034
2024-07-07,Thuê mặt bằng,13025624
2024-07-08,Thuê mặt bằng,14193218
2024-07-09,Thuê mặt bằng,12291597
2024-07-10,Thuê mặt bằng,14511734
2024-07-11,Thuê mặt bằng,14376831
2024-07-12,Thuê mặt bằng,14479011
2024-07-13,Thuê mặt bằng,14299119
2024-07-14,Thuê mặt bằng,13524109
2024-07-15,Thuê mặt bằng,14508944
2024-07-16,Thuê mặt bằng,13193367
2024-07-17,Thuê mặt bằng,12671013
2024-07-18,Thuê mặt bằng,12790470
2024-07-19,Thuê mặt bằng,12341489
2024-07-20,Thuê mặt bằng,12642782
2024-07-21,Thuê mặt bằng,12571060
2024-07-22,Thuê mặt bằng,12704909
2024-07-23,Thuê mặt bằng,11914244
2024-07-24,Thuê mặt bằng,13443280
2024-07-25,Thuê mặt bằng,13376968
2024-07-26,Thuê mặt bằng,13265696
2024-07-27,Thuê mặt bằng,12173439
2024-07-28,Thuê mặt bằng,12712892
2024-07-29,Thuê mặt bằng,14431045
2024-07-30,Thuê mặt bằng,12443058
2024-07-31,Thuê mặt bằng,11915755
2024-08-01,Thuê mặt bằng,12404075
2024-08-02,Thuê mặt bằng,12721420
2024-08-03,Thuê mặt bằng,12171684
2024-08-04,Thuê mặt bằng,13811760
2024-08-05,Thuê mặt bằng,13741687
2024-08-06,Thuê mặt bằng,13834103
2024-08-07,Thuê mặt bằng,13651868
2024-08-08,Thuê mặt bằng,12390457
2024-08-09,Thuê mặt bằng,12513752
2024-08-10,Thuê mặt bằng,13605274
2024-08-11,Thuê mặt bằng,13302484
2024-08-12,Thuê mặt bằng,13784506
2024-08-13,Thuê mặt bằng,13057194
2024-08-14,Thuê mặt bằng,12302066
2024-08-15,Thuê mặt bằng,13202272
2024-08-16,Thuê mặt bằng,13365610
2024-08-17,Thuê mặt bằng,13659786
2024-08-18,Thuê mặt bằng,14403262
2024-08-19,Thuê mặt bằng,12162480
2024-08-20,Thuê mặt bằng,13113331
2024-08-21,Thuê mặt bằng,12306861
2024-08-22,Thuê mặt bằng,13982939
2024-08-23,Thuê mặt bằng,13371283
2024-08-24,Thuê mặt bằng,13247769
2024-08-25,Thuê mặt bằng,14436839
2024-08-26,Thuê mặt bằng,13044042
2024-08-27,Thuê mặt bằng,12274132
2024-08-28,Thuê mặt bằng,12822810
2024-08-29,Thuê mặt bằng,12620161
2024-08-30,Thuê mặt bằng,11990281
2024-08-31,Thuê mặt bằng,14393556
2024-09-01,Thuê mặt bằng,14232211
2024-09-02,Thuê mặt bằng,12888752
2024-09-03,Thuê mặt bằng,14501933
2024-09-04,Thuê mặt bằng,14246249
2024-09-05,Thuê mặt bằng,14279986
2024-09-06,Thuê mặt bằng,14893945
2024-09-07,Thuê mặt bằng,12719604
2024-09-08,Thuê mặt bằng,14933969
2024-09-09,Thuê mặt bằng,12669510
2024-09-10,Thuê mặt bằng,14822273
2024-09-11,Thuê mặt bằng,14101588
2024-09-12,Thuê mặt bằng,13340784
2024-09-13,Thuê mặt bằng,12311483
2024-09-14,Thuê mặt bằng,14465389
2024-09-15,Thuê mặt bằng,13912467
2024-09-16,Thuê mặt bằng,12891874
2024-09-17,Thuê mặt bằng,13288334
2024-09-18,Thuê mặt bằng,13516850
2024-09-19,Thuê mặt bằng,12588076
2024-09-20,Thuê mặt bằng,12653865
2024-09-21,Thuê mặt bằng,12908009
2024-09-22,Thuê mặt bằng,12648539
2024-09-23,Thuê mặt bằng,13030612
2024-09-24,Thuê mặt bằng,12483925
2024-09-25,Thuê mặt bằng,12500930
2024-09-26,Thuê mặt bằng,13868288
2024-09-27,Thuê mặt bằng,12967634
2024-09-28,Thuê mặt bằng,14073797
2024-09-29,Thuê mặt bằng,13406434
2024-09-30,Thuê mặt bằng,13662153
2024-10-01,Thuê mặt bằng,13955810
2024-10-02,Thuê mặt bằng,14517452
2024-10-03,Thuê mặt bằng,12737194
2024-10-04,Thuê mặt bằng,13411997
2024-10-05,Thuê mặt bằng,13507444
2024-10-06,Thuê mặt bằng,14364042
2024-10-07,Thuê mặt bằng,14448194
2024-10-08,Thuê mặt bằng,13945565
2024-10-09,Thuê mặt bằng,13794054
2024-10-10,Thuê mặt bằng,14069252
2024-10-11,Thuê mặt bằng,14259233
2024-10-12,Thuê mặt bằng,12899891
2024-10-13,Thuê mặt bằng,12356084
2024-10-14,Thuê mặt bằng,11931070
2024-10-15,Thuê mặt bằng,12886761
2024-10-16,Thuê mặt bằng,12829597
2024-10-17,Thuê mặt bằng,14262996
2024-10-18,Thuê mặt bằng,13806415
2024-10-19,Thuê mặt bằng,11932685
2024-10-20,Thuê mặt bằng,13367141
2024-10-21,Thuê mặt bằng,13807564
2024-10-22,Thuê mặt bằng,13348755
2024-10-23,Thuê mặt bằng,13113508
2024-10-24,Thuê mặt bằng,12482783
2024-10-25,Thuê mặt bằng,12511751
2024-10-26,Thuê mặt bằng,14045705
2024-10-27,Thuê mặt bằng,14156264
